house,plan,polsby_popper,schwartzberg,reock,convex_hull,total_perimeter,relative_perimeter
wsa,evers24_wsa,0.35531289652148174,0.5873323617966759,0.39210161349448747,0.7648803018282256,17716204.88475,1.0294384600784905
wsa,everslc_wsa,0.25198102554321905,0.48914892043514363,0.3710435188719234,0.7207722394491753,20804467.4571902,1.2088886463668367
wsa,lawforward_wsa,0.3033956538792743,0.5429537047776626,0.38677633379065446,0.7344836444912382,18914278.7574392,1.099055137610996
wsa,legis24_wsa,0.24866769063292157,0.48565518439010597,0.36132362701924664,0.7240050936126416,21523433.1772042,1.2506657068871485
wsa,legis_wsa,0.24400576816207478,0.48044411549714916,0.3583671945781332,0.7177060259742102,21737537.7579121,1.2631067173232713
wsa,petering_wsa,0.3823033060023806,0.6102810231400951,0.4444767637488573,0.7967276827533886,17209581.3123197,1
wsa,pmc_wsa,0.3277145864416853,0.5633542393864989,0.39665244601338645,0.7668002936358251,18031875.8088716,1.0477812029025506
wsa,sendems_wsa,0.31649922139222125,0.5525804041459874,0.3936322413332795,0.744269896093888,18679141.8315573,1.0853919972001624
wsa,will_wsa,0.34897574569342205,0.5812169036753129,0.41282842613988235,0.7772384566136238,17937712.0148045,1.0423096116791362
wsa,wright_wsa,0.314730731273049,0.5531281164977324,0.38724025705127696,0.7434224167448369,18855843.453531,1.0956596277001116
wss,evers24_wss,0.3210510797054287,0.558141267302941,0.37714299420233127,0.7579899177767075,11326878.9060804,1
wss,everslc_wss,0.21819072753260313,0.45353745286868086,0.377784337043208,0.7108370704217409,14073085.1161774,1.2424503901620039
wss,lawforward_wss,0.25372147261415395,0.49561962699170603,0.38537008620051677,0.7194038797516202,12497645.0069259,1.1033617566280307
wss,legis24_wss,0.22930710829779577,0.467232328938931,0.3689718949559471,0.7148074690042967,13759851.7334988,1.2147964013380899
wss,legis_wss,0.22589972617375445,0.46352405950051506,0.3686663411401597,0.7109198888828795,13842881.907613,1.2221267678761853
wss,petering_wss,0.33107794224383147,0.5653701786663603,0.3870312317791792,0.754237874106512,11745382.366122,1.0369478179745435
wss,pmc_wss,0.2889146992867209,0.5282076074248689,0.394433196838521,0.7399823934998451,12033038.6858531,1.0623437211281188
wss,sendems_wss,0.26542020226851715,0.5042870138043702,0.35787828864329607,0.7187568150613297,12435935.1474232,1.0979136662922628
wss,will_wss,0.2818163939580619,0.5237453840750865,0.3880405434300161,0.7328291246855645,12249744.4561415,1.0814757143351896
wss,wright_wss,0.25571932028728,0.4994082780067839,0.3807954524189762,0.727148603328548,12685421.4211589,1.1199397050452478
